,level_0,index,article_name,country,revision_id,scores,population
12978,12978,45968,Aslan Dzharimov,Russia,806868634,Stub,147300000
12979,12979,46019,Vladislav Tretiak,Russia,806895208,C,147300000
12980,12980,46043,Semyon Lavochkin,Russia,806910655,Start,147300000
12981,12981,46050,Mikhail Tereshchenko,Russia,806913211,Start,147300000
12982,12982,46059,Matvey Skobelev,Russia,806917619,C,147300000
12983,12983,46061,Yekaterina Kuskova,Russia,806918552,B,147300000
12984,12984,46063,Pavel Ryabushinsky,Russia,806918857,Start,147300000
12985,12985,46064,Andrei Ivanovich Shingarev,Russia,806919183,Start,147300000
12986,12986,46071,Vladimir Kuzmin-Karavayev,Russia,806928362,Stub,147300000
12987,12987,46086,Sergey Mitrokhin,Russia,806943108,Stub,147300000
12988,12988,46135,Alexander Veshnyakov,Russia,806991055,Start,147300000
12989,12989,46195,Anatoly Lunacharsky,Russia,807016165,C,147300000
12990,12990,46266,Sergei Witte,Russia,807077628,FA,147300000
12991,12991,46308,Sofia Panina,Russia,807103079,C,147300000
12992,12992,46364,Valentina Tereshkova,Russia,807140934,C,147300000
12993,12993,46480,Valery Gazzaev,Russia,807184804,Start,147300000
12994,12994,46531,Vladimir Zhirinovsky,Russia,807204641,B,147300000
12995,12995,46538,Lyudmila Narusova,Russia,807207036,Start,147300000
12996,12996,46575,Pavel Borodin,Russia,807227876,Start,147300000
12997,12997,46604,Tatyana Yumasheva,Russia,807243616,Start,147300000
12998,12998,46675,Dmitri Bantysh-Kamensky,Russia,807277125,C,147300000
12999,12999,46678,Igor Sechin,Russia,807278481,C,147300000
13000,13000,46679,Alexey Ulyukaev,Russia,807279211,Start,147300000
13001,13001,46685,Maria Gaidar,Russia,807283488,GA,147300000
13002,13002,46706,Lavrentiy Beria,Russia,807293910,C,147300000
13003,13003,46728,Yevgeny Savchenko,Russia,807310583,Stub,147300000
13004,13004,46796,Vladimir Lenin,Russia,807340102,FA,147300000
13005,13005,46801,Joseph Stalin,Russia,807340998,FA,147300000
13006,13006,46805,Marat Safin,Russia,807343155,C,147300000
13007,13007,46806,Natalya Narochnitskaya,Russia,807343220,Start,147300000
13008,13008,46810,Saparmurat Niyazov,Russia,807345693,C,147300000
13009,13009,46826,Sergey Kirov,Russia,807355042,C,147300000
13010,13010,46828,Catherine the Great,Russia,807355465,B,147300000
13011,13011,46866,Benyamin Kayurov,Russia,807367892,Stub,147300000
13012,13012,46877,Vladimir Dzhanibekov,Russia,807373913,Start,147300000
13013,13013,46879,Yulia Shoygu,Russia,807375276,Start,147300000
13014,13014,46886,Boris Bugayev,Russia,807380909,Start,147300000
13015,13015,46986,Alexander Kerensky,Russia,807415221,C,147300000
13016,13016,47068,Mikhail Prokhorov,Russia,807444705,C,147300000
13017,13017,47169,Mark Feygin,Russia,807475576,C,147300000
13018,13018,328,Khayelihle Mathaba,South Africa,627051151,Stub,57700000
13019,13019,445,William Matthew Harries,South Africa,663617582,Stub,57700000
13020,13020,458,Philip Johannes Andries Watermeyer,South Africa,666610075,Start,57700000
13021,13021,631,Azhar Cachalia,South Africa,682166816,Stub,57700000
13022,13022,1047,Gert Rudolph,South Africa,703405191,Start,57700000
13023,13023,1075,Charles Saunders (administrator),South Africa,703652809,Start,57700000
13024,13024,1366,Swelethu Madasa,South Africa,705904127,Stub,57700000
13025,13025,1386,Adam Kok III,South Africa,706049252,Stub,57700000
13026,13026,1467,Kenneth Mopeli,South Africa,706416525,Stub,57700000
13027,13027,1748,Robert Smit,South Africa,708084659,Stub,57700000
13028,13028,1956,Steven Swart,South Africa,709437381,Stub,57700000
13029,13029,2342,Royith Bhoola,South Africa,711388332,Stub,57700000
13030,13030,2679,Richard Dyantyi,South Africa,713128890,Stub,57700000
13031,13031,2709,Willie Marais,South Africa,713299721,Stub,57700000
13032,13032,2744,Botha Sigcau,South Africa,713404338,Stub,57700000
13033,13033,2745,Winkie Direko,South Africa,713406799,Stub,57700000
13034,13034,2767,Yunus Mohamed,South Africa,713483588,Start,57700000
13035,13035,2838,Esaias Reynier Snijman,South Africa,713912938,Stub,57700000
